                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4945,                 38.607,                0.99577,                      0,                      0,                      0,                      0,                 3.1742,                 25.015,                0.86397,                0.00052,                0.00052,                0.00052
                      2,                 3.5942,                 17.919,                 0.9889,                  7e-05,                 0.0198,                  3e-05,                  1e-05,                  3.956,                  28.45,                0.85824,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.2425,                 13.499,                0.92782,                0.00097,                0.28713,                0.02996,                0.01263,                 3.0515,                 11.767,                0.86441,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.4345,                  11.25,                0.91657,                0.67033,                0.38614,                0.40722,                0.10139,                 2.9908,                 8.2288,                  0.841,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.3313,                  8.577,                0.91771,                0.78445,                0.33663,                0.39062,                0.10624,                 3.0968,                 5.9911,                0.82725,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.4142,                 7.3389,                0.94415,                0.48298,                0.26733,                 0.1871,                 0.0368,                 3.0459,                 5.1101,                0.85699,               0.001901,               0.001901,               0.001901
                      7,                 3.0106,                 6.3918,                0.91787,                 0.2561,                0.10891,                0.06904,                0.01456,                 3.6034,                 5.8252,                0.90531,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0134,                 5.0315,                0.92079,                   0.65,                0.26733,                0.28341,                0.07256,                 2.8184,                 3.4916,                0.85341,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.9388,                 4.1232,                0.89807,                0.74893,                0.20678,                0.25002,                0.05176,                 2.7813,                 3.0138,                0.75915,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.931,                 4.0971,                0.91906,                0.67991,                0.30693,                 0.2984,                0.07188,                 2.8699,                 2.4771,                0.85851,              0.0018218,              0.0018218,              0.0018218
                     11,                  2.825,                 3.1389,                 0.8809,                0.39544,                0.27849,                0.18719,                0.04838,                 3.3139,                 2.6026,                0.85929,               0.001802,               0.001802,               0.001802
                     12,                 2.9123,                 2.9587,                 0.8783,                0.59947,                0.31124,                0.37337,                0.10435,                 2.6259,                 2.2349,                0.81858,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.7482,                 2.7926,                0.87432,                0.63031,                0.28698,                0.28406,                0.08159,                 2.8712,                 2.2931,                0.84442,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.7426,                 2.5879,                0.88983,                0.52062,                0.37624,                0.39864,                0.10681,                 2.5686,                 2.0818,                0.81594,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.8415,                 2.3205,                0.88711,                0.74762,                0.32268,                0.42944,                0.15452,                 2.5233,                 2.0855,                0.82368,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.6654,                 2.1266,                0.86597,                 0.2819,                0.26733,                0.15329,                0.03752,                 3.0816,                 2.2875,                0.85199,               0.001703,               0.001703,               0.001703
                     17,                 2.7698,                 2.2139,                0.87058,                0.58166,                0.43564,                0.41735,                0.12342,                 2.7085,                 1.7798,                0.82746,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.8668,                 2.2686,                0.87781,                0.51423,                 0.2516,                0.22528,                0.04995,                 3.2676,                 1.8576,                0.84749,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.7048,                 2.2072,                0.87224,                0.57846,                0.23103,                 0.2904,                0.07928,                 2.9671,                 2.0669,                0.83316,              0.0016436,              0.0016436,              0.0016436
                     20,                  2.717,                 1.8822,                0.87212,                0.58574,                  0.434,                0.42229,                0.11813,                  2.931,                 1.7609,                0.82846,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.6674,                 1.7568,                0.87109,                0.66444,                0.47525,                0.46368,                0.14468,                 2.3971,                 1.3387,                0.82376,               0.001604,               0.001604,               0.001604
                     22,                 2.6331,                 1.6774,                0.86598,                0.57058,                0.48515,                0.47552,                0.18121,                 2.1478,                 1.2294,                0.80376,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.7162,                 1.7737,                0.86285,                0.62763,                0.43564,                0.45991,                0.13414,                 2.5466,                 1.2413,                0.81183,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.6059,                 1.7748,                0.84494,                0.68191,                0.47525,                0.48687,                0.12533,                 2.6163,                 1.2882,                0.82077,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.6466,                 1.6498,                0.87942,                0.76242,                0.48515,                 0.5514,                0.17327,                 2.4583,                 1.3001,                0.81394,              0.0015248,              0.0015248,              0.0015248
                     26,                  2.652,                 1.5723,                 0.8688,                0.68568,                0.47517,                0.45906,                 0.1398,                 2.4768,                 1.3263,                0.80782,               0.001505,               0.001505,               0.001505
                     27,                 2.6129,                  1.761,                0.86151,                0.66504,                0.50495,                0.47965,                0.18242,                 2.1394,                 1.2524,                0.80441,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.6727,                 1.6247,                0.87529,                0.69671,                 0.5004,                0.51775,                0.16094,                  2.648,                 1.2748,                0.81328,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.6983,                 1.5206,                0.88404,                0.59195,                0.37347,                 0.4231,                 0.1183,                 2.6067,                 1.3192,                0.80348,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.3958,                  1.418,                0.86223,                0.70301,                0.40594,                0.47934,                 0.1652,                 2.3737,                 1.3159,                0.80505,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.5652,                 1.3936,                0.86444,                0.62542,                0.39604,                0.47675,                0.16825,                 2.3316,                 1.3015,                0.80781,               0.001406,               0.001406,               0.001406
                     32,                 2.4904,                 1.5546,                0.83257,                0.64296,                0.53465,                0.52009,                0.19948,                 2.1305,                 1.3853,                0.79646,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.4011,                 1.4676,                0.83662,                0.72831,                0.47525,                0.57877,                0.20068,                 2.1874,                 1.2345,                0.79116,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.3946,                 1.3979,                0.85535,                0.74692,                0.48515,                0.58263,                 0.2152,                 2.2981,                 1.1126,                0.79743,              0.0013466,              0.0013466,              0.0013466
